и не	22732	201352
и в	27048	193983
потому что	14926	117401
я не	10675	113767
у меня	9734	97102
может быть	16086	96065
то что	17195	95251
что он	11786	92743
не было	13196	92729
в том	21604	89842
у нас	14490	86446
в этом	19108	84820
у него	10716	82963
что в	19594	80398
не только	19433	80252
том что	19033	77858
что я	8026	75642
и на	16285	74347
ничего не	10535	71816
так и	16699	71614
и с	13580	71079
он не	10140	68787
и я	8089	68653
о том	16176	67202
и все	12031	66971
но и	17871	66247
с ним	10055	65937
а в	16321	60045
так как	12040	58376
что это	11099	57962
как бы	9650	56860
все это	10433	52951
как и	13234	50613
да и	10411	50243
вместе с	12508	49521
не в	11738	49285
то есть	11403	49262
и что	9444	49137
и он	7707	48879
никогда не	9587	48344
к нему	8448	48225
не может	11506	48027
если бы	9527	47665
а я	6729	47558
так что	11330	47525
он был	7675	47234
а не	11198	46620
об этом	10422	45100
и даже	10800	44977
что не	10117	44953
это не	11843	44867
еще не	10078	44753
но не	11098	44428
и как	10104	42588
не мог	6804	42307
из них	13145	41386
не знаю	6508	40338
на него	7293	40336
в нем	9381	40316
а потом	8308	40259
что же	8648	40197
в то	10722	39971
при этом	13576	39931
уже не	9623	39037
в его	8960	38517
это было	7617	38081
во время	10610	37952
что она	7116	37436
того что	10390	37244
как будто	5761	37176
то же	10130	37103
но в	10858	36943
как в	10771	36837
ко мне	5485	36495
так же	8816	36435
а также	13395	36133
и по	10319	35266
что у	8911	35149
у них	8564	34548
и т	8824	33965
и так	8461	33734
и вот	7896	33586
один из	11683	33342
никто не	8421	33320
в москве	9416	33159
и его	10142	33095
у вас	6449	33010
к тому	10987	32814
не могу	6209	32714
в конце	10484	32590
что вы	5886	32428
но я	5885	31972
что они	8526	31330
я и	5834	31004
только в	11365	30819
его в	8053	30782
таким образом	9856	30278
что и	9045	30274
в россии	10372	29973
несмотря на	9706	29741
